Protein,phi
Q0045,8.95584E-05
Q0140,3.73842E-05
Q0250,8.85203E-05
YAL003W,0.005312511
YAL005C,0.003097483
YAL007C,0.000122624
YAL012W,0.002177404
YAL016W,0.000335447
YAL017W,0.000139013
YAL019W,9.12493E-05
YAL021C,0.000453256
YAL023C,0.000554936
YAL025C,5.98799E-05
YAL029C,8.20297E-05
YAL034W-A,1.0729E-05
YAL035W,0.00148806
YAL036C,0.000217473
YAL038W,0.012328039
YAL039C,2.03826E-05
YAL042W,0.000127131
YAL043C,6.89496E-06
YAL044C,0.000271393
YAL044W-A,1.55806E-06
YAL046C,7.68529E-06
YAL049C,9.80366E-05
YAL059W,5.54012E-05
YAL060W,0.000279339
YAL062W,0.001470811
YAR002C-A,0.000154004
YAR002W,0.000184946
YAR007C,0.000395289
YAR015W,0.000638512
YAR042W,0.000326641
YBL004W,0.000241668
YBL007C,0.000660477
YBL015W,0.000140384
YBL017C,0.000595475
YBL020W,7.71809E-05
YBL022C,0.000372326
YBL023C,0.000196945
YBL024W,0.001529487
YBL026W,3.52779E-05
YBL028C,3.37707E-05
YBL029C-A,1.19448E-05
YBL030C,0.001409657
YBL032W,0.000216639
YBL033C,7.0227E-05
YBL035C,6.25856E-05
YBL036C,0.000104123
YBL039C,0.001018128
YBL041W,0.000193337
YBL045C,0.000495991
YBL047C,0.000677237
YBL050W,0.000205489
YBL051C,0.000236683
YBL054W,3.83387E-05
YBL055C,5.29866E-05
YBL056W,0.000101454
YBL057C,4.46569E-05
YBL058W,0.00018777
YBL059C-A,7.16537E-06
YBL064C,0.000376189
YBL068W,0.000280261
YBL069W,3.99596E-05
YBL075C,0.000291597
YBL076C,0.003138172
YBL079W,0.000365583
YBL085W,2.14435E-05
YBL086C,5.2745E-05
YBL090W,4.22668E-05
YBL091C,0.000343674
YBL092W,0.000935764
YBL093C,2.88463E-05
YBL098W,6.21729E-05
YBL099W,0.002564289
YBL103C,7.49603E-05
YBL104C,0.000127671
YBL105C,0.000105837
YBL107C,3.75329E-05
YBR003W,0.000217378
YBR006W,6.02135E-05
YBR011C,0.002087307
YBR015C,0.000155678
YBR016W,4.25E-07
YBR017C,0.000531056
YBR024W,6.98884E-06
YBR025C,0.001832623
YBR026C,0.000146464
YBR029C,3.19974E-05
YBR031W,0.000814165
YBR034C,8.76438E-05
YBR035C,0.000225578
YBR039W,0.000256462
YBR042C,2.30468E-05
YBR046C,0.000102788
YBR049C,0.000378523
YBR052C,6.89923E-05
YBR053C,0.000166597
YBR054W,5.77252E-05
YBR056W,0.000119373
YBR058C,0.000180325
YBR058C-A,1.79756E-05
YBR069C,0.000104311
YBR072W,0.000447928
YBR074W,0
YBR077C,2.63053E-05
YBR078W,0.000888661
YBR079C,0.0008389
YBR080C,0.000269538
YBR081C,0.001659507
YBR082C,4.34908E-05
YBR084W,0.000895063
YBR085C-A,2.69954E-05
YBR086C,0.000555947
YBR087W,5.80061E-05
YBR088C,0.000199714
YBR089C-A,9.67897E-05
YBR091C,2.29035E-05
YBR092C,0.000882913
YBR094W,0.000149985
YBR095C,0.000105902
YBR096W,4.25671E-05
YBR101C,0.000189653
YBR104W,4.17872E-05
YBR106W,0.000134003
YBR108W,0
YBR109C,0.000119818
YBR111C,0.000145052
YBR111W-A,1.9291E-05
YBR112C,0.000146386
YBR115C,0.004481076
YBR117C,0
YBR121C,0.002843841
YBR122C,1.16812E-05
YBR125C,1.29034E-05
YBR126C,0.000550547
YBR127C,0.002404982
YBR131W,0.000135366
YBR135W,6.76153E-05
YBR137W,1.63213E-05
YBR139W,0.000198678
YBR142W,0.00028089
YBR143C,0.000649836
YBR145W,0.000103537
YBR146W,4.24E-05
YBR149W,0.000490456
YBR151W,9.38621E-05
YBR154C,0.000282158
YBR155W,0.000126344
YBR159W,8.09468E-05
YBR160W,0.000119057
YBR162C,0.00052787
YBR164C,4.74491E-05
YBR166C,7.67869E-05
YBR167C,1.91246E-05
YBR169C,0.000392544
YBR170C,0.000169385
YBR171W,3.37011E-05
YBR172C,0.000107453
YBR173C,0
YBR176W,9.73837E-05
YBR177C,0.000299666
YBR185C,4.52226E-06
YBR188C,1.40905E-05
YBR189W,0.000324418
YBR191W,2.13255E-05
YBR196C,0.005123932
YBR198C,0.000189681
YBR199W,7.73829E-05
YBR200W,4.93573E-05
YBR204C,2.96479E-05
YBR205W,0.000122844
YBR212W,9.11366E-05
YBR214W,4.97584E-05
YBR218C,0.000897026
YBR221C,0.001608592
YBR222C,0.000325559
YBR227C,0.000206079
YBR229C,0.000191852
YBR230C,5.02392E-05
YBR231C,4.21756E-05
YBR233W,8.89873E-05
YBR233W-A,1.52159E-05
YBR234C,8.87531E-05
YBR236C,8.30908E-05
YBR238C,0
YBR244W,4.05975E-05
YBR245C,0.000187085
YBR246W,0.000117855
YBR247C,0.00025053
YBR248C,0.001562605
YBR249C,0.001474898
YBR251W,5.11562E-05
YBR252W,8.64946E-05
YBR253W,1.91843E-05
YBR256C,6.68853E-05
YBR258C,1.53306E-05
YBR260C,3.99792E-05
YBR261C,5.77036E-05
YBR262C,1.29665E-05
YBR263W,0.000941676
YBR265W,8.80765E-05
YBR267W,3.57305E-05
YBR269C,4.4383E-05
YBR272C,7.71683E-05
YBR273C,4.94224E-05
YBR278W,1.90595E-06
YBR281C,9.78565E-05
YBR283C,0.000301281
YBR286W,0.000858847
YCL001W,7.02904E-05
YCL005W-A,1.72129E-05
YCL008C,3.49606E-05
YCL009C,0.001137335
YCL011C,0.000190379
YCL017C,0.000323681
YCL024W,0
YCL026C-B,4.37236E-05
YCL028W,0.00021127
YCL029C,4.92864E-05
YCL030C,0.002005448
YCL031C,5.28444E-05
YCL033C,2.34755E-05
YCL034W,5.98012E-05
YCL035C,5.30789E-05
YCL037C,0.000671556
YCL040W,0.000743839
YCL043C,0.001581303
YCL044C,6.14763E-05
YCL045C,0.000225082
YCL050C,0.000580396
YCL054W,0.000251346
YCL057C-A,2.99732E-05
YCL057W,0.000358803
YCL059C,0.00016299
YCR002C,0.000249154
YCR004C,0.000449055
YCR005C,0.000201946
YCR009C,0.000185412
YCR012W,0.023612101
YCR017C,0.000140094
YCR020W-B,2.62044E-05
YCR028C-A,0.000256438
YCR030C,0.000302138
YCR031C,0
YCR034W,0.000103694
YCR035C,6.25235E-05
YCR036W,9.77757E-05
YCR046C,2.78715E-05
YCR047C,5.69732E-05
YCR048W,0.00016234
YCR051W,8.07919E-05
YCR052W,8.13912E-05
YCR053W,0.001639888
YCR057C,0.00024807
YCR060W,1.50423E-05
YCR068W,2.41748E-05
YCR071C,6.9319E-06
YCR072C,5.25563E-05
YCR073W-A,0.000121596
YCR075W-A,1.75207E-05
YCR076C,1.32608E-05
YCR077C,0.000249085
YCR083W,6.40839E-05
YCR084C,0.000421386
YCR086W,1.38755E-05
YCR087C-A,8.31585E-05
YCR088W,0.000702581
YCR090C,3.6787E-05
YCR093W,0.000493
YCR098C,0
YDL002C,3.12178E-06
YDL004W,0.000117717
YDL006W,2.73723E-05
YDL007W,0.000381004
YDL012C,0
YDL014W,0.00039523
YDL015C,7.89622E-05
YDL019C,0.000315451
YDL022W,0.000504476
YDL029W,0.000398763
YDL031W,0.000331441
YDL040C,0.001102022
YDL043C,2.35146E-05
YDL047W,6.02713E-05
YDL051W,0.000345436
YDL052C,7.95651E-05
YDL053C,4.43498E-05
YDL055C,0.004036546
YDL058W,0.000329216
YDL060W,0.000235505
YDL061C,7.37983E-05
YDL063C,0.000114289
YDL064W,4.00164E-05
YDL065C,0.000138376
YDL066W,0.00122028
YDL072C,0.000108361
YDL074C,3.25094E-05
YDL075W,0.000347138
YDL077C,5.92098E-05
YDL078C,0.000429956
YDL081C,0.000486732
YDL082W,7.28359E-05
YDL084W,0.001214632
YDL085C-A,1.60647E-05
YDL086W,0.000140402
YDL092W,3.9851E-05
YDL095W,0.000453339
YDL097C,0.000519337
YDL098C,2.07916E-05
YDL099W,5.41786E-05
YDL100C,0.000455299
YDL103C,0.000260261
YDL110C,1.80611E-05
YDL111C,3.34478E-05
YDL112W,0.000197824
YDL113C,4.10173E-05
YDL116W,0.000102437
YDL120W,6.18229E-05
YDL121C,5.65286E-05
YDL122W,0.000296193
YDL124W,0.000364268
YDL125C,0.00030031
YDL126C,0.003133271
YDL128W,3.75059E-05
YDL130W,0.00012292
YDL130W-A,3.72597E-05
YDL131W,0.001210446
YDL132W,0.000306884
YDL134C,7.22276E-05
YDL135C,0.000183
YDL137W,8.74678E-05
YDL140C,0.001334504
YDL143W,0.00043452
YDL144C,6.1321E-05
YDL145C,0.001124396
YDL147W,0.000311107
YDL150W,9.27738E-05
YDL153C,0.00018048
YDL157C,1.20515E-05
YDL160C,0.000761169
YDL161W,9.68926E-05
YDL164C,0.000216095
YDL165W,7.29728E-05
YDL166C,5.51762E-05
YDL167C,0.000124571
YDL168W,0.000248185
YDL171C,0.001807184
YDL173W,6.50391E-05
YDL174C,0.000211513
YDL178W,0.000226299
YDL181W,3.87374E-05
YDL182W,0.000912581
YDL185W,0.004870125
YDL189W,0
YDL190C,0.00200613
YDL192W,0.000303705
YDL195W,0.001158804
YDL198C,0.00026327
YDL199C,0.000411569
YDL201W,0.000160448
YDL202W,2.16848E-05
YDL203C,0
YDL204W,0
YDL205C,8.56E-05
YDL208W,0.00012362
YDL211C,4.89359E-06
YDL212W,3.20421E-05
YDL213C,0.00022097
YDL215C,0.000136189
YDL217C,1.96456E-05
YDL219W,5.14875E-05
YDL223C,4.0418E-05
YDL224C,8.31626E-05
YDL225W,0.000172234
YDL226C,0.000169969
YDL229W,0.011593094
YDL235C,9.13368E-05
YDL236W,0.000155474
YDL237W,5.19308E-05
YDR001C,0.00047733
YDR002W,0.000228845
YDR005C,2.55537E-05
YDR007W,1.91032E-05
YDR011W,0.000409448
YDR012W,0.000140127
YDR016C,1.62709E-05
YDR017C,9.15991E-05
YDR019C,0.000301832
YDR023W,0.001421053
YDR028C,0.000616937
YDR031W,1.72909E-05
YDR032C,0.000250933
YDR033W,0.000705942
YDR035W,0.00057953
YDR036C,0.000226065
YDR037W,0.002671176
YDR041W,3.40555E-05
YDR044W,8.06989E-05
YDR050C,0.00400685
YDR051C,7.10177E-05
YDR054C,7.31092E-05
YDR055W,0.000148485
YDR060W,0.000416167
YDR062W,0.000187917
YDR063W,9.34587E-05
YDR064W,0.002328257
YDR068W,2.72855E-05
YDR070C,4.28925E-06
YDR071C,0.000667491
YDR074W,0.000423813
YDR076W,0.000107438
YDR083W,7.19758E-05
YDR084C,4.35596E-05
YDR086C,0.000237981
YDR087C,2.27534E-05
YDR091C,0.000507988
YDR092W,9.38033E-05
YDR098C,0.000156926
YDR099W,0.00025286
YDR101C,0.000876122
YDR116C,3.3647E-05
YDR117C,9.76404E-05
YDR119W,7.01286E-05
YDR120C,0.000194569
YDR121W,4.84297E-05
YDR127W,0.00214661
YDR129C,0.000972985
YDR135C,0.000393138
YDR138W,0.000115094
YDR141C,0.000176482
YDR143C,1.91098E-05
YDR145W,0.00014928
YDR148C,0.000337876
YDR150W,0.000639665
YDR152W,6.64058E-05
YDR153C,9.54255E-05
YDR155C,0.000943266
YDR156W,2.06866E-05
YDR158W,0.001338519
YDR165W,0.000189697
YDR167W,1.90249E-05
YDR168W,0.000429714
YDR169C,0.000155625
YDR170C,0.000629891
YDR172W,0.000495274
YDR174W,0.000249273
YDR175C,8.14233E-05
YDR176W,3.00551E-05
YDR177W,0.000139239
YDR178W,5.02387E-05
YDR182W,0.000160125
YDR183W,4.31489E-05
YDR188W,0.000486789
YDR189W,0.000143559
YDR190C,0.000392284
YDR194C,0.000232725
YDR201W,6.01514E-05
YDR211W,0.000386894
YDR212W,0.000598767
YDR214W,0.000358086
YDR221W,0.000100311
YDR224C,5.18755E-06
YDR226W,0.001334052
YDR227W,5.68143E-06
YDR231C,3.07696E-05
YDR232W,0.00017261
YDR233C,0.001053577
YDR234W,0.000286398
YDR235W,0.00036929
YDR236C,3.48284E-05
YDR238C,0.000914008
YDR239C,6.84406E-05
YDR243C,5.66495E-05
YDR246W,2.05439E-05
YDR248C,3.17434E-05
YDR257C,4.94675E-05
YDR258C,0.000601325
YDR262W,0
YDR264C,0.000120287
YDR266C,0
YDR267C,1.04759E-05
YDR268W,4.28359E-05
YDR272W,5.18423E-05
YDR280W,8.12117E-05
YDR287W,4.52802E-05
YDR289C,4.81177E-05
YDR292C,0.000132697
YDR293C,0.000317058
YDR294C,0.000118671
YDR296W,6.89766E-05
YDR298C,0.000121281
YDR299W,0.000147351
YDR300C,0.00018019
YDR303C,4.76368E-05
YDR304C,0.000525706
YDR312W,0
YDR320C,0.00019022
YDR321W,0.000286651
YDR322C-A,3.95499E-05
YDR322W,0.000109377
YDR324C,0.00019269
YDR328C,0.000206385
YDR330W,5.59508E-05
YDR333C,9.15353E-05
YDR337W,4.6458E-05
YDR341C,0.002462865
YDR346C,0.000356133
YDR347W,8.79956E-05
YDR348C,0
YDR353W,0.000602705
YDR354W,0.000132897
YDR356W,5.8844E-05
YDR358W,0.000120204
YDR361C,6.76633E-05
YDR363W-A,5.99888E-07
YDR365C,6.40378E-05
YDR367W,1.41373E-05
YDR368W,0.000518071
YDR376W,7.05509E-05
YDR377W,7.14692E-05
YDR378C,7.3458E-05
YDR380W,0.000332142
YDR381C-A,1.00153E-05
YDR381W,0.000548668
YDR382W,0.000673827
YDR384C,3.61694E-05
YDR388W,0.00024928
YDR389W,3.15346E-05
YDR390C,0.000106358
YDR394W,0.000204081
YDR395W,0.000176474
YDR397C,2.45002E-05
YDR398W,0.000152655
YDR399W,0.000168206
YDR404C,5.69867E-05
YDR405W,3.81091E-05
YDR408C,6.59821E-05
YDR411C,2.52621E-05
YDR416W,0
YDR422C,1.47518E-05
YDR425W,0
YDR427W,0.000302299
YDR428C,6.19291E-05
YDR429C,0.00039865
YDR430C,0.00035451
YDR432W,0.000648552
YDR434W,3.10892E-05
YDR441C,1.79089E-05
YDR449C,4.69592E-05
YDR452W,0.000169723
YDR453C,1.88837E-05
YDR454C,0.000636479
YDR457W,0.000505063
YDR461C-A,1.60534E-05
YDR462W,2.18357E-05
YDR469W,9.55016E-05
YDR470C,0.000304638
YDR472W,5.1481E-05
YDR477W,0.000360482
YDR481C,0.000176012
YDR483W,0.00021957
YDR486C,0
YDR487C,0.000204705
YDR496C,0.000282013
YDR500C,0.000118357
YDR502C,0.000719426
YDR508C,0.000105668
YDR510W,0.000221214
YDR513W,0.000169769
YDR515W,0.000112754
YDR516C,0.0002452
YDR517W,7.16558E-05
YDR518W,0.000302434
YDR519W,0.000122496
YDR524C,0
YDR525W-A,5.34195E-06
YDR529C,5.66158E-05
YDR531W,0.000122561
YDR533C,0.000131881
YEL002C,0.000403339
YEL007W,0.000126265
YEL012W,7.46567E-06
YEL013W,0.000220988
YEL015W,0.000101862
YEL018W,5.33315E-06
YEL020W-A,5.95206E-05
YEL021W,0
YEL024W,8.69311E-05
YEL026W,0.000234271
YEL030W,0.000310623
YEL031W,0.001044642
YEL032W,0.000220314
YEL034W,0.000144327
YEL037C,0.00028188
YEL038W,7.80236E-05
YEL040W,0.000247379
YEL042W,0.000214513
YEL044W,3.0195E-05
YEL046C,0.00050895
YEL047C,0.000626358
YEL050C,1.26507E-05
YEL051W,0.000385381
YEL052W,0.00011427
YEL055C,0.000162493
YEL056W,6.01341E-05
YEL058W,0.000392756
YEL060C,0.00038923
YEL066W,0.000167706
YEL071W,0.001435561
YER001W,0.000119869
YER002W,5.9607E-05
YER003C,0.00102509
YER004W,0.000108773
YER006W,0.00041545
YER007C-A,0.000217847
YER009W,0.000859388
YER010C,6.30302E-05
YER012W,0.000157269
YER014W,0.00044918
YER019C-A,1.79959E-05
YER019W,1.9767E-05
YER021W,0.000507322
YER023W,0.000351088
YER025W,0.001509941
YER029C,3.45975E-05
YER030W,2.92448E-05
YER031C,4.0789E-05
YER034W,2.16124E-05
YER036C,0.001159714
YER042W,0.000183081
YER043C,0.003753753
YER044C,2.82819E-05
YER048C,0.00027824
YER048W-A,7.43824E-05
YER049W,0.000532396
YER052C,0.000449016
YER055C,0.000520202
YER056C,7.74291E-05
YER057C,0.000207961
YER061C,2.98858E-05
YER062C,0.000223818
YER063W,0.00016641
YER067W,4.91145E-06
YER068W,0.000129089
YER069W,0.000648555
YER070W,0.000624701
YER072W,0.000202102
YER073W,0.000516564
YER074W-A,2.74097E-07
YER078C,4.90624E-05
YER079W,1.35448E-05
YER080W,0.000500395
YER081W,0.000417262
YER082C,0.000107114
YER083C,6.72271E-05
YER086W,0.000706163
YER088C,0.000116895
YER089C,0.000192079
YER090W,0.00089839
YER091C,0.011632335
YER092W,1.21702E-05
YER094C,0.00016252
YER099C,0.000116234
YER100W,0
YER101C,0.000147167
YER103W,0.000112876
YER105C,8.53525E-05
YER110C,0.002204897
YER112W,9.62505E-05
YER114C,0.00012592
YER120W,0.000221585
YER122C,0.000236235
YER123W,3.58741E-05
YER125W,0.003181306
YER131W,1.33298E-05
YER133W,0.000192133
YER134C,7.69874E-05
YER136W,0.000528305
YER139C,4.23884E-05
YER143W,0.000117967
YER145C,1.84591E-05
YER146W,7.76569E-05
YER148W,5.91196E-05
YER151C,0.000321294
YER152C,0.000150069
YER155C,0.000351959
YER156C,0.000284968
YER159C,3.18792E-05
YER161C,2.06418E-05
YER163C,9.19329E-05
YER164W,0.000189236
YER165W,0.002328747
YER166W,0.000148862
YER168C,0.001103913
YER174C,2.81038E-05
YER175C,3.34705E-05
YER176W,0.000300149
YER177W,0.000713333
YER178W,0.001057313
YER182W,3.17381E-05
YFL001W,4.68798E-05
YFL002C,6.32416E-05
YFL004W,0.000380364
YFL005W,0.000255711
YFL007W,0.000240372
YFL008W,0.000280269
YFL010C,0.000104865
YFL014W,0.00022947
YFL016C,8.86848E-05
YFL017C,8.14528E-05
YFL017W-A,1.67083E-06
YFL018C,0.000497148
YFL022C,0.000899532
YFL023W,0.00011953
YFL028C,8.37189E-05
YFL034C-A,6.34288E-05
YFL037W,0.001166528
YFL038C,0.000300118
YFL039C,0.004852947
YFL041W,0.00010665
YFL044C,2.97745E-05
YFL045C,0.000936705
YFL047W,0.000101776
YFL048C,0.000199582
YFR001W,7.68798E-05
YFR002W,0.000189548
YFR003C,6.62832E-05
YFR004W,0.000357696
YFR006W,0.000146932
YFR009W,0.000475692
YFR010W,0.000270019
YFR011C,3.43021E-05
YFR013W,0.00010451
YFR014C,5.53974E-05
YFR016C,0.000151671
YFR024C-A,0.000210786
YFR025C,8.64363E-06
YFR028C,7.49034E-05
YFR030W,0.000216285
YFR033C,1.9381E-05
YFR034C,2.05424E-05
YFR037C,0.000348467
YFR040W,0.000100004
YFR041C,1.39535E-05
YFR044C,0.001198857
YFR047C,0.000139365
YFR049W,1.28473E-06
YFR050C,0.000130764
YFR051C,0.000344804
YFR052W,0.000156025
YFR053C,0.000310575
YGL001C,8.63948E-05
YGL005C,4.42011E-05
YGL008C,0.002766421
YGL009C,0.001612825
YGL011C,0.000173216
YGL014W,0.000211549
YGL016W,8.29491E-05
YGL018C,1.1319E-05
YGL019W,7.8842E-05
YGL020C,1.57637E-05
YGL022W,0.000221471
YGL023C,1.6344E-05
YGL025C,2.07914E-05
YGL026C,0.001472223
YGL027C,0.000263373
YGL028C,0.000150443
YGL030W,0.001379682
YGL031C,8.6691E-05
YGL035C,7.43993E-05
YGL037C,0.000231058
YGL038C,1.65958E-05
YGL039W,6.69366E-05
YGL040C,0.000177445
YGL043W,0.000110464
YGL048C,0.000327785
YGL049C,0.000246818
YGL050W,3.88413E-05
YGL054C,5.34962E-05
YGL055W,0.000302047
YGL056C,0.000126279
YGL061C,2.2655E-05
YGL062W,0.00078205
